AV6APqDrtUQoPd9mybli,0.01490800000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqdJtUQoPd9mybls,0.01395100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APp5otUQoPd9myble,0.01391500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APqiVtUQoPd9myblu,0.01479600000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APsFrtUQoPd9mybmW,0.01763700000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APsZ7tUQoPd9mybme,0.05689100000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APsogtUQoPd9mybmk,0.01498000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APstLtUQoPd9mybmm,0.03231000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtLKtUQoPd9mybmy,0.02682500000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtVgtUQoPd9mybm2,0.01411000000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
AV6APtaDtUQoPd9mybm4,0.02711400000ms,"{""profile"": true,""query"": {""match"": {""_id"": ""AV6ANEBstUQoPd9myblN""}}, ""size"": 1000, ""_source"": [""document_title"",""document_publication_publishing_date"",""document_list_of_annotations_name"",""in_corpora""]}"
